store_id,sku,opening_stock,closing_stock,replenishment_qty,lead_time
S001,SKU0137,86,74,54,4
S001,SKU0138,106,69,140,5
S001,SKU0139,275,257,64,5
S001,SKU0140,54,18,145,3
S001,SKU0141,230,215,102,2
S001,SKU0142,204,188,115,6
S001,SKU0143,174,136,24,6
S001,SKU0144,131,98,92,2
S001,SKU0145,76,58,84,3
S001,SKU0146,111,80,125,4
S001,SKU0147,101,87,119,1
S001,SKU0148,152,119,59,7
S001,SKU0149,210,171,135,1
S001,SKU0150,72,45,137,1
S001,SKU0151,124,85,72,4
S001,SKU0152,216,189,66,2
S001,SKU0153,135,96,52,3
S001,SKU0154,55,34,98,6
S001,SKU0155,268,238,35,4
S001,SKU0156,272,241,138,7
S001,SKU0157,220,191,24,3
S001,SKU0158,168,132,104,6
S001,SKU0159,134,118,39,4
S001,SKU0160,249,238,38,7
S001,SKU0161,117,102,72,3
S001,SKU0162,154,138,103,6
S001,SKU0163,284,248,79,5
S001,SKU0164,77,49,47,2
S001,SKU0165,55,21,95,6
S001,SKU0166,58,47,90,3
S001,SKU0167,190,156,21,4
S001,SKU0168,106,81,65,5
S001,SKU0169,78,63,132,5
S001,SKU0170,280,245,142,7
S001,SKU0171,125,112,64,1
S001,SKU0172,268,236,62,4
S001,SKU0173,162,144,107,6
S001,SKU0174,184,168,67,6
S001,SKU0175,222,208,35,2
S001,SKU0176,275,256,139,5
S001,SKU0177,223,191,39,5
S001,SKU0178,94,63,52,4
S001,SKU0179,97,76,122,5
S001,SKU0180,152,121,148,1
S001,SKU0181,102,90,85,3
S001,SKU0182,270,246,143,4
S001,SKU0183,256,241,99,4
S001,SKU0184,275,241,123,3
S001,SKU0185,179,160,37,3
S001,SKU0186,192,174,98,6
S001,SKU0187,57,34,35,3
S001,SKU0188,177,152,139,6
S001,SKU0189,98,71,85,4
S001,SKU0190,84,74,38,6
S001,SKU0191,182,165,85,3
S001,SKU0192,53,34,63,7
S001,SKU0193,299,285,30,3
S001,SKU0194,268,244,95,6
S001,SKU0195,286,267,34,7
S001,SKU0196,251,225,73,2
S001,SKU0197,223,210,138,6
S001,SKU0198,294,265,89,5
S001,SKU0199,224,207,111,6
S001,SKU0200,75,61,76,4
S001,SKU0201,244,214,70,2
S001,SKU0202,252,222,131,3
S001,SKU0203,166,155,20,4
S001,SKU0204,111,79,51,1
S001,SKU0205,65,37,42,3
S001,SKU0206,168,139,128,2
S001,SKU0207,289,260,88,3
S001,SKU0208,140,114,86,1
S001,SKU0209,50,36,74,6
S001,SKU0210,65,54,73,7
S001,SKU0211,298,259,54,1
S001,SKU0212,295,276,133,2
S001,SKU0213,71,39,86,7
S001,SKU0214,178,153,32,2
S001,SKU0215,201,173,107,3
S001,SKU0216,296,262,88,6
S001,SKU0217,168,130,56,2
S001,SKU0218,277,255,56,6
S001,SKU0219,210,172,140,5
S001,SKU0220,52,37,72,4
S001,SKU0221,210,185,22,3
S001,SKU0222,209,197,133,3
S001,SKU0223,167,138,110,4
S001,SKU0224,168,145,44,4
S001,SKU0225,290,264,52,5
S001,SKU0226,178,156,126,2
S001,SKU0227,88,77,123,6
S001,SKU0228,210,181,89,2
S001,SKU0229,294,266,68,3
S001,SKU0230,136,100,53,6
S001,SKU0231,160,132,33,5
S001,SKU0232,222,189,91,2
S001,SKU0233,272,258,47,2
S001,SKU0234,113,84,56,7
S001,SKU0235,267,230,113,2
S001,SKU0236,265,227,143,1
S001,SKU0237,129,112,50,4
S001,SKU0238,227,207,118,2
S001,SKU0239,71,46,124,1
S001,SKU0240,120,101,95,7
S001,SKU0241,164,133,105,6
S001,SKU0242,193,171,46,3
S001,SKU0243,207,183,116,2
S001,SKU0244,200,183,70,2
S001,SKU0245,117,105,97,7
S001,SKU0246,160,133,111,1
S001,SKU0247,97,78,51,4
S001,SKU0248,202,165,147,3
S001,SKU0249,94,59,91,3
S001,SKU0250,269,241,68,2
S001,SKU0251,57,37,41,7
S001,SKU0252,76,49,79,1
S001,SKU0253,108,70,116,2
S001,SKU0254,131,121,93,3
S001,SKU0255,282,257,128,7
S001,SKU0256,125,99,105,6
S001,SKU0257,54,35,86,4
S001,SKU0258,261,240,102,5
S001,SKU0259,161,145,103,5
S001,SKU0260,212,184,64,5
S001,SKU0261,255,242,97,4
S001,SKU0262,74,41,95,3
S001,SKU0263,149,123,114,5
S001,SKU0264,202,171,127,3
S001,SKU0265,111,76,88,6
S001,SKU0266,178,156,26,7
S001,SKU0267,211,200,83,6
S001,SKU0268,52,27,85,1
S001,SKU0269,157,127,85,3
S001,SKU0270,194,178,143,1
S001,SKU0271,174,160,24,3
S001,SKU0272,52,26,146,7
S001,SKU0273,255,244,144,1
S001,SKU0274,233,213,116,5
S001,SKU0275,89,61,57,1
S001,SKU0276,194,178,82,2
S001,SKU0277,87,57,66,1
S001,SKU0278,51,25,80,4
S001,SKU0279,230,201,81,5
S001,SKU0280,104,71,77,2
S001,SKU0281,275,247,102,5
S001,SKU0282,212,180,85,3
S001,SKU0283,194,164,29,7
S001,SKU0284,225,198,77,1
S001,SKU0285,223,209,143,4
S001,SKU0286,106,67,25,3
S001,SKU0287,134,123,21,5
S001,SKU0288,241,208,124,2
S001,SKU0289,250,228,31,1
S001,SKU0290,123,112,133,5
S001,SKU0291,114,85,146,6
S001,SKU0292,197,175,54,4
S001,SKU0293,126,107,48,5
S001,SKU0294,242,216,112,3
S001,SKU0295,253,235,84,3
S001,SKU0296,253,216,72,7
S001,SKU0297,277,243,63,1
S001,SKU0298,105,68,80,1
S001,SKU0299,131,110,32,6
S001,SKU0300,192,153,124,7
S001,SKU0301,163,133,81,7
S001,SKU0302,123,110,84,7
S001,SKU0303,99,81,129,4
S001,SKU0304,187,177,64,5
S001,SKU0305,191,176,110,5
S001,SKU0306,193,163,45,5
S001,SKU0307,115,83,62,6
S001,SKU0308,297,273,148,3
S001,SKU0309,151,132,58,6
S001,SKU0310,277,259,96,6
S001,SKU0311,177,154,144,7
S001,SKU0312,107,71,139,5
S001,SKU0313,90,76,72,4
S001,SKU0314,293,272,132,3
S001,SKU0315,157,119,128,2
S001,SKU0316,119,101,64,1
S001,SKU0317,61,51,79,3
S001,SKU0318,258,238,148,6
S001,SKU0319,188,172,60,1
S001,SKU0320,228,210,79,1
S001,SKU0321,243,205,44,3
S001,SKU0322,191,169,56,7
S001,SKU0323,151,130,25,7
S001,SKU0324,227,191,89,3
S001,SKU0325,58,31,139,5
S001,SKU0326,212,183,78,2
S001,SKU0327,241,221,24,6
S001,SKU0328,99,84,63,7
S001,SKU0329,79,42,133,1
S001,SKU0330,203,182,32,4
S001,SKU0331,50,26,129,3
S001,SKU0332,271,245,22,1
S001,SKU0333,230,220,117,1
S001,SKU0334,205,175,45,6
S001,SKU0335,152,119,138,6
S001,SKU0336,87,72,101,6
S001,SKU0337,140,108,109,3
S001,SKU0338,245,223,56,5
S001,SKU0339,257,236,133,3
S001,SKU0340,189,156,59,3
S001,SKU0341,166,129,58,7
S001,SKU0342,78,42,50,3
S001,SKU0343,83,44,33,3
S001,SKU0344,135,119,109,2
S001,SKU0345,98,76,118,7
S001,SKU0346,259,235,104,4
S001,SKU0347,196,175,122,2
S001,SKU0348,150,114,35,1
S001,SKU0349,132,97,70,2
S001,SKU0350,68,35,137,7
S001,SKU0351,144,131,85,5
S001,SKU0352,95,57,33,2
S001,SKU0353,132,97,76,7
S001,SKU0354,202,181,50,2
S001,SKU0355,96,79,34,6
S001,SKU0356,184,163,128,4
S001,SKU0357,96,83,77,3
S001,SKU0358,104,66,138,6
S001,SKU0359,223,192,113,6
S001,SKU0360,122,100,77,4
S001,SKU0361,109,97,45,1
S001,SKU0362,115,88,134,3
S001,SKU0363,232,204,96,6
S001,SKU0364,80,51,79,3
S001,SKU0365,276,265,85,5
S001,SKU0366,240,224,146,4
S001,SKU0367,269,258,59,7
S001,SKU0368,92,54,33,1
S001,SKU0369,200,171,145,7
S001,SKU0370,54,22,58,4
S001,SKU0371,126,96,140,3
S001,SKU0372,272,260,20,4
S001,SKU0373,120,87,79,7
S001,SKU0374,196,185,99,2
S001,SKU0375,113,102,102,4
S001,SKU0376,224,188,118,1
S001,SKU0377,95,71,44,4
S001,SKU0378,213,190,103,6
S001,SKU0379,62,48,43,1
S001,SKU0380,108,79,103,7
S001,SKU0381,99,85,72,7
S001,SKU0382,296,284,104,5
S001,SKU0383,291,273,86,2
S001,SKU0384,90,72,26,1
S001,SKU0385,139,106,25,4
S001,SKU0386,136,122,85,4
S001,SKU0387,199,170,88,7
S001,SKU0388,240,227,62,3
S001,SKU0389,185,173,87,7
S001,SKU0390,215,187,65,7
S001,SKU0391,125,100,126,4
S001,SKU0392,147,113,82,5
S001,SKU0393,89,53,110,1
S001,SKU0394,241,210,91,6
S001,SKU0395,67,52,40,7
S001,SKU0396,247,235,100,3
S001,SKU0397,124,108,100,4
S001,SKU0398,124,86,107,5
S001,SKU0399,233,197,58,3
S001,SKU0400,78,51,135,5
S001,SKU0401,74,48,30,5
S001,SKU0402,85,49,76,1
S001,SKU0403,161,125,65,7
S001,SKU0404,148,127,111,3
S001,SKU0405,106,68,132,6
S001,SKU0406,274,237,84,3
S001,SKU0407,96,58,86,4
S001,SKU0408,136,103,90,2
S001,SKU0409,165,147,32,5
S001,SKU0410,159,148,141,3
S001,SKU0411,54,41,86,3
S001,SKU0412,86,73,116,3
S001,SKU0413,74,55,135,7
S001,SKU0414,65,34,112,7
S001,SKU0415,116,105,88,2
S001,SKU0416,169,153,49,1
S001,SKU0417,179,163,144,5
S001,SKU0418,234,222,118,7
S001,SKU0419,275,264,116,6
S001,SKU0420,269,254,123,6
S001,SKU0421,59,24,91,2
S001,SKU0422,76,55,132,2
S001,SKU0423,150,123,96,3
S001,SKU0424,213,185,113,7
S001,SKU0425,269,234,117,5
S001,SKU0426,283,256,63,1
S001,SKU0427,88,71,145,1
S001,SKU0428,180,152,111,6
S001,SKU0429,264,242,123,3
S001,SKU0430,112,98,108,7
S001,SKU0431,259,239,105,1
S001,SKU0432,170,141,117,6
S001,SKU0433,284,272,103,3
S001,SKU0434,78,67,33,1
S001,SKU0435,199,188,93,7
S001,SKU0436,193,177,91,5
S001,SKU0437,183,162,32,4
S001,SKU0438,241,205,44,2
S001,SKU0439,122,110,75,4
S001,SKU0440,151,137,45,1
S001,SKU0441,68,35,68,6
S001,SKU0442,198,178,40,7
S001,SKU0443,206,177,117,6
S001,SKU0444,288,259,77,6
S001,SKU0445,297,268,96,5
S001,SKU0446,233,200,149,4
S001,SKU0447,163,145,136,4
S001,SKU0448,90,53,67,1
S001,SKU0449,289,260,83,4
S001,SKU0450,118,81,126,3
S001,SKU0451,95,67,52,7
S001,SKU0452,109,81,105,3
S001,SKU0453,217,206,34,5
S001,SKU0454,294,267,99,7
S001,SKU0455,51,33,66,2
S001,SKU0456,110,100,22,4
S001,SKU0457,178,168,95,5
S001,SKU0458,191,172,43,4
S001,SKU0459,116,78,76,7
S001,SKU0460,167,140,86,2
S001,SKU0461,56,35,78,2
S001,SKU0462,61,39,128,7
S001,SKU0463,238,210,31,2
S001,SKU0464,281,243,24,6
S001,SKU0465,124,104,50,5
S001,SKU0466,200,168,77,1
S001,SKU0467,189,176,40,2
S001,SKU0468,192,161,32,2
S001,SKU0469,198,179,42,3
S001,SKU0470,288,258,42,7
S001,SKU0471,108,82,46,1
S001,SKU0472,238,215,102,6
S001,SKU0473,163,136,50,5
S001,SKU0474,147,133,28,4
S001,SKU0475,195,183,109,3
S001,SKU0476,97,61,126,5
S001,SKU0477,151,122,58,2
S001,SKU0478,179,169,132,5
S001,SKU0479,114,79,144,3
S001,SKU0480,272,237,85,6
S001,SKU0481,174,144,99,1
S001,SKU0482,279,268,94,2
S001,SKU0483,235,220,56,2
S001,SKU0484,88,49,33,7
S001,SKU0485,175,141,76,1
S001,SKU0486,206,194,88,1
S001,SKU0487,126,111,70,4
S001,SKU0488,115,85,61,1
S001,SKU0489,189,153,111,1
S001,SKU0490,192,172,125,3
S001,SKU0491,242,231,67,4
S001,SKU0492,155,142,98,6
S001,SKU0493,181,171,33,7
S001,SKU0494,282,270,40,1
S001,SKU0495,220,202,93,7
S001,SKU0496,52,21,79,7
S001,SKU0497,224,187,106,2
S001,SKU0498,263,246,52,3
S001,SKU0499,102,78,117,5
S001,SKU0500,105,67,112,4
S002,SKU0001,238,211,70,6
S002,SKU0002,197,169,55,1
S002,SKU0003,137,113,91,2
S002,SKU0004,258,223,122,3
S002,SKU0005,260,223,68,2
S002,SKU0006,200,169,114,2
S002,SKU0007,263,232,42,2
S002,SKU0008,126,93,119,3
S002,SKU0009,100,86,137,7
S002,SKU0010,162,151,73,2
S002,SKU0011,72,49,37,1
S002,SKU0012,81,51,69,6
S002,SKU0013,192,154,114,6
S002,SKU0014,137,124,149,7
S002,SKU0015,254,241,131,1
S002,SKU0016,85,46,42,4
S002,SKU0017,277,250,47,2
S002,SKU0018,69,42,54,5
S002,SKU0019,137,105,134,4
S002,SKU0020,182,145,140,2
S002,SKU0021,296,259,78,3
S002,SKU0022,93,81,138,5
S002,SKU0023,78,56,71,5
S002,SKU0024,235,206,106,4
S002,SKU0025,215,199,104,5
S002,SKU0026,293,278,60,3
S002,SKU0027,259,237,109,5
S002,SKU0028,169,145,81,4
S002,SKU0029,65,49,38,2
S002,SKU0030,284,250,34,5
S002,SKU0031,56,38,86,7
S002,SKU0032,179,147,80,6
S002,SKU0033,75,58,133,6
S002,SKU0034,98,72,65,1
S002,SKU0035,138,109,145,3
S002,SKU0036,160,135,149,6
S002,SKU0037,220,185,35,3
S002,SKU0038,188,167,61,6
S002,SKU0039,142,129,96,1
S002,SKU0040,249,220,149,5
S002,SKU0041,88,66,44,5
S002,SKU0042,181,169,109,4
S002,SKU0043,67,56,98,5
S002,SKU0044,187,161,88,1
S002,SKU0045,240,208,25,4
S002,SKU0046,191,167,110,1
S002,SKU0047,297,265,59,2
S002,SKU0048,209,181,98,1
S002,SKU0049,259,244,121,5
S002,SKU0050,234,214,24,7
S002,SKU0051,73,53,136,3
S002,SKU0052,126,109,22,7
S002,SKU0053,253,237,31,7
S002,SKU0054,206,182,57,3
S002,SKU0055,124,87,107,3
S002,SKU0056,198,161,69,3
S002,SKU0057,179,155,34,3
S002,SKU0058,95,79,63,4
S002,SKU0059,211,193,29,5
S002,SKU0060,163,150,47,2
S002,SKU0061,172,141,97,7
S002,SKU0062,254,229,147,7
S002,SKU0063,276,244,128,6
S002,SKU0064,294,266,145,5
S002,SKU0065,188,153,94,5
S002,SKU0066,203,169,102,3
S002,SKU0067,156,134,121,2
S002,SKU0068,219,183,69,7
S002,SKU0069,157,136,26,1
S002,SKU0070,288,275,84,7
S002,SKU0071,56,18,68,1
S002,SKU0072,252,214,120,7
S002,SKU0073,186,162,129,2
S002,SKU0074,86,71,27,3
S002,SKU0075,224,186,89,7
S002,SKU0076,158,127,109,5
S002,SKU0077,90,79,111,6
S002,SKU0078,264,252,53,7
S002,SKU0079,287,258,127,4
S002,SKU0080,276,237,134,7
S002,SKU0081,240,219,119,3
S002,SKU0082,150,123,43,6
S002,SKU0083,236,205,141,2
S002,SKU0084,145,128,30,5
S002,SKU0085,225,215,68,7
S002,SKU0086,179,163,142,7
S002,SKU0087,211,200,113,4
S002,SKU0088,138,105,47,7
S002,SKU0089,265,238,26,4
S002,SKU0090,181,158,66,3
S002,SKU0091,88,63,104,6
S002,SKU0092,195,183,115,7
S002,SKU0093,59,30,89,6
S002,SKU0094,266,254,88,4
S002,SKU0095,138,102,137,6
S002,SKU0096,270,255,37,3
S002,SKU0097,106,77,22,1
S002,SKU0098,108,80,94,7
S002,SKU0099,76,40,63,3
S002,SKU0100,61,39,99,6
S002,SKU0101,244,233,114,6
S002,SKU0102,60,39,112,3
S002,SKU0103,266,252,144,5
S002,SKU0104,140,106,104,4
S002,SKU0105,243,228,130,5
S002,SKU0106,265,247,34,4
S002,SKU0107,243,206,103,1
S002,SKU0108,200,164,40,7
S002,SKU0109,147,117,92,1
S002,SKU0110,255,226,36,5
S002,SKU0111,174,140,133,5
S002,SKU0112,273,251,103,1
S002,SKU0113,228,192,101,5
S002,SKU0114,228,213,70,2
S002,SKU0115,125,94,94,6
S002,SKU0116,58,47,57,4
S002,SKU0117,77,38,95,5
S002,SKU0118,292,271,138,5
S002,SKU0119,160,134,83,1
S002,SKU0120,215,176,122,7
S002,SKU0121,185,169,59,2
S002,SKU0122,269,242,84,7
S002,SKU0123,124,89,63,1
S002,SKU0124,77,56,105,1
S002,SKU0125,63,52,135,6
S002,SKU0126,59,48,46,6
S002,SKU0127,231,200,85,5
S002,SKU0128,89,55,20,5
S002,SKU0129,72,53,47,1
S002,SKU0130,144,128,90,1
S002,SKU0131,204,175,139,1
S002,SKU0132,201,176,53,2
S002,SKU0133,294,283,112,2
S002,SKU0134,270,237,95,4
S002,SKU0135,196,166,83,7
S002,SKU0136,247,223,119,1
S002,SKU0137,290,253,99,2
S002,SKU0138,226,216,39,2
S002,SKU0139,281,261,44,1
S002,SKU0140,150,130,75,6
S002,SKU0141,200,171,84,5
S002,SKU0142,96,69,144,7
S002,SKU0143,93,65,25,4
S002,SKU0144,58,40,141,3
S002,SKU0145,209,194,110,7
S002,SKU0146,129,92,61,6
S002,SKU0147,228,211,114,3
S002,SKU0148,274,245,139,4
S002,SKU0149,180,155,51,5
S002,SKU0150,133,107,25,1
S002,SKU0151,177,167,28,2
S002,SKU0152,278,260,50,5
S002,SKU0153,144,120,145,3
S002,SKU0154,235,222,114,1
S002,SKU0155,268,235,31,4
S002,SKU0156,279,250,135,4
S002,SKU0157,130,111,120,5
S002,SKU0158,201,179,110,4
S002,SKU0159,242,212,55,2
S002,SKU0160,212,190,86,4
S002,SKU0161,89,64,75,2
S002,SKU0162,200,187,44,3
S002,SKU0163,192,158,50,3
S002,SKU0164,186,159,81,1
S002,SKU0165,105,81,22,5
S002,SKU0166,96,65,51,2
S002,SKU0167,135,124,101,5
S002,SKU0168,179,156,127,5
S002,SKU0169,251,234,88,2
S002,SKU0170,253,239,55,2
S002,SKU0171,231,198,41,1
S002,SKU0172,163,153,99,3
S002,SKU0173,245,213,122,7
S002,SKU0174,158,126,59,5
S002,SKU0175,128,95,43,2
S002,SKU0176,51,39,99,6
S002,SKU0177,211,187,144,1
S002,SKU0178,146,118,29,7
S002,SKU0179,55,44,31,4
S002,SKU0180,167,139,40,5
S002,SKU0181,265,255,143,4
S002,SKU0182,190,157,142,7
S002,SKU0183,275,247,40,4
S002,SKU0184,240,226,135,1
S002,SKU0185,128,98,135,1
S002,SKU0186,163,148,28,6
S002,SKU0187,164,129,70,5
S002,SKU0188,103,79,129,3
S002,SKU0189,288,276,46,6
S002,SKU0190,198,180,138,2
S002,SKU0191,276,238,130,6
S002,SKU0192,244,217,80,7
S002,SKU0193,184,155,109,1
S002,SKU0194,102,88,117,4
S002,SKU0195,160,136,134,5
S002,SKU0196,176,152,61,4
S002,SKU0197,195,180,89,5
S002,SKU0198,147,117,52,6
S002,SKU0199,236,221,77,4
S002,SKU0200,279,263,137,1
S002,SKU0201,243,222,108,4
S002,SKU0202,273,251,115,3
S002,SKU0203,165,135,99,6
S002,SKU0204,150,121,109,4
S002,SKU0205,64,54,129,6
S002,SKU0206,295,277,64,3
S002,SKU0207,116,81,78,5
S002,SKU0208,135,123,26,1
S002,SKU0209,195,169,56,1
S002,SKU0210,274,256,90,1
S002,SKU0211,152,131,100,1
S002,SKU0212,208,175,35,2
S002,SKU0213,114,78,145,2
S002,SKU0214,86,69,86,5
S002,SKU0215,191,178,103,3
S002,SKU0216,244,227,101,1
S002,SKU0217,288,274,73,6
S002,SKU0218,270,255,133,6
S002,SKU0219,196,163,102,3
S002,SKU0220,116,101,71,4
S002,SKU0221,71,40,113,1
S002,SKU0222,248,224,109,6
S002,SKU0223,172,151,62,7
S002,SKU0224,131,97,97,2
S002,SKU0225,189,179,97,6
S002,SKU0226,53,40,57,6
S002,SKU0227,65,29,128,3
S002,SKU0228,187,166,81,2
S002,SKU0229,119,80,95,4
S002,SKU0230,187,148,106,4
S002,SKU0231,112,78,60,3
S002,SKU0232,182,165,56,3
S002,SKU0233,57,21,57,1
S002,SKU0234,78,53,39,5
S002,SKU0235,87,77,67,3
S002,SKU0236,274,238,125,5
S002,SKU0237,249,217,32,3
S002,SKU0238,279,258,31,6
S002,SKU0239,163,125,115,7
S002,SKU0240,206,172,52,5
S002,SKU0241,104,68,91,1
S002,SKU0242,53,35,123,2
S002,SKU0243,81,69,65,6
S002,SKU0244,233,199,70,7
S002,SKU0245,270,242,81,3
S002,SKU0246,283,252,97,6
S002,SKU0247,128,96,140,2
S002,SKU0248,253,235,74,3
S002,SKU0249,225,203,48,1
S002,SKU0250,272,244,43,1
S002,SKU0251,201,185,111,7
S002,SKU0252,156,141,67,7
S002,SKU0253,224,201,61,3
S002,SKU0254,271,238,70,3
S002,SKU0255,171,133,79,3
S002,SKU0256,252,218,31,2
S002,SKU0257,92,61,135,6
S002,SKU0258,231,217,124,3
S002,SKU0259,93,61,97,5
S002,SKU0260,257,234,63,7
S002,SKU0261,97,81,130,7
S002,SKU0262,102,70,45,4
S002,SKU0263,120,101,103,5
S002,SKU0264,220,182,89,1
S002,SKU0265,73,60,105,7
S002,SKU0266,123,108,57,1
S002,SKU0267,263,232,100,4
S002,SKU0268,175,143,52,3
S002,SKU0269,117,106,149,1
S002,SKU0270,246,235,96,4
S002,SKU0271,171,150,135,7
S002,SKU0272,66,41,122,2
S002,SKU0273,66,42,25,3
S002,SKU0274,105,92,23,6
S002,SKU0275,176,139,21,2
S002,SKU0276,202,183,137,4
S002,SKU0277,182,171,127,1
S002,SKU0278,146,130,63,4
S002,SKU0279,65,31,79,2
S002,SKU0280,226,190,33,5
S002,SKU0281,256,225,130,2
S002,SKU0282,125,114,37,3
S002,SKU0283,77,47,130,4
S002,SKU0284,53,18,146,3
S002,SKU0285,221,206,110,7
S002,SKU0286,121,93,22,1
S002,SKU0287,103,64,95,4
S002,SKU0288,234,209,33,1
S002,SKU0289,211,196,20,6
S002,SKU0290,293,262,89,6
S002,SKU0291,109,82,59,7
S002,SKU0292,129,106,84,3
S002,SKU0293,80,70,34,1
S002,SKU0294,150,138,102,5
S002,SKU0295,273,237,41,6
S002,SKU0296,155,125,33,6
S002,SKU0297,171,145,84,6
S002,SKU0298,85,48,132,7
S002,SKU0299,117,93,53,7
S002,SKU0300,283,245,105,6
S002,SKU0301,80,44,46,5
S002,SKU0302,110,83,38,2
S002,SKU0303,126,109,101,2
S002,SKU0304,246,228,79,2
S002,SKU0305,105,91,53,2
S002,SKU0306,218,195,135,4
S002,SKU0307,77,66,138,6
S002,SKU0308,232,215,23,3
S002,SKU0309,144,134,109,3
S002,SKU0310,193,181,92,5
S002,SKU0311,111,89,111,2
S002,SKU0312,259,234,60,7
S002,SKU0313,80,50,100,5
S002,SKU0314,74,63,122,5
S002,SKU0315,217,194,134,1
S002,SKU0316,168,148,66,7
S002,SKU0317,295,262,66,4
S002,SKU0318,168,133,36,6
S002,SKU0319,160,132,88,2
